iso3,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,m_noise,m_share_agriculture,gps_trust,rule_of_law,gini,log_gdp_pc,n_trust_general,n_trust_in_group,n_trust_out_group,n_trust_institution
PHL,0.0534670008354218,0.8452083333333333,0.533125,0.8071354166666667,0.5545163664726702,25.27902677931716,0.35706308,-0.4971797704696655,43.45,9.056636714985515,1197.0,1200.0,1200.0,1200.0
ROU,0.1187399030694668,0.80199203187251,0.4806390468453832,0.6038502531308286,0.6437810357387733,14.07746522971934,-0.21704744,0.3754239052534103,35.379999999999995,10.394836931175774,1238.0,1255.0,1231.0,1251.0
RUS,0.2390934844192634,0.847483407079646,0.5304621848739496,0.6352203436807096,-0.4530281177871468,6.27063511286621,-0.15077487,-0.8214822053909302,35.94,10.488321620623646,1765.0,1808.0,1785.0,1804.0
SRB,0.1661807580174927,0.8599470134874759,0.5758422416585682,0.5644087069525666,0.8167737539396377,22.960770734456823,-0.16020425,-0.1393464520573615,36.98,9.889099892241278,1029.0,1038.0,1029.0,1026.0
THA,0.3136842105263158,0.8526517678452301,0.5393736017897093,0.6879484953703705,-0.0520684408090396,31.75642885347772,0.3484398,-0.0236325900070369,36.08,9.907936993050038,1425.0,1499.0,1490.0,1440.0
TUR,0.1426160337552742,0.8209921292460646,0.5205569375345496,0.7407897467828974,0.6411702740513423,19.320462368422906,0.12911025,-0.3261643946170806,42.9,10.226950475773034,2370.0,2414.0,2412.0,2409.0
UKR,0.3065286624203822,0.8235636645962733,0.5559978768577494,0.5517347600518806,-0.7237880887841642,14.772175170342582,-0.09238698,-0.7895074367523194,25.839999999999996,9.707307470963356,1256.0,1288.0,1256.0,1285.0
USA,0.3973714727483571,0.8416634504052489,0.6478120978120979,0.6260553622067543,-0.6397671091221866,1.856574755787746,0.15036696,1.5300784587860108,41.58,11.104679404549774,2587.0,2591.0,2590.0,2586.0
VNM,0.2766666666666666,0.8498958333333333,0.5457638888888888,0.8003645833333334,1.3116080076658423,39.65961437562565,0.14363137,-0.0671933710575103,35.5,9.246619620930822,1200.0,1200.0,1200.0,1200.0
ZWE,0.0214168039538715,0.8077635914332785,0.5453137902559868,0.6569615912208505,-0.3823823840487058,63.064783170480304,-0.5091331,-1.344263744354248,47.3,8.549347681547973,1214.0,1214.0,1211.0,1215.0
