unit_id,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,m_trust_composite,m_noise,q275_cell,gps_trust_cell
BGD|M|25-34,0.1652892561983471,0.8471074380165289,0.5051652892561983,0.756198347107438,0.702823691460055,-0.5660958951120669,2.3884297520661155,-0.28609568
BGD|M|35-44,0.12738853503184713,0.8447452229299363,0.48487261146496813,0.791932059447983,0.707183297947629,0.8481634796289399,1.7770700636942676,-0.0678625
BGD|M|45-54,0.14166666666666666,0.8541666666666666,0.4712885154061625,0.7798611111111111,0.7017720977279801,-0.09976197822561593,1.7166666666666666,-0.2043234
BGD|M|55-64,0.060240963855421686,0.8418674698795181,0.5005020080321285,0.7575301204819277,0.6999665327978581,-0.12050623686202053,1.783132530120482,-0.28186607
BGD|M|65+,0.038461538461538464,0.8701923076923077,0.46794871794871795,0.7916666666666666,0.7099358974358974,0.040884136485858376,1.6153846153846154,0.089215115
BOL|F|18-24,0.06465517241379311,0.7130801687763713,0.4105133614627286,0.5286568213783404,0.5507501172058133,0.876835730836872,3.7468354430379747,-0.04858311
BOL|F|25-34,0.05802047781569966,0.7162162162162162,0.4169481981981982,0.5038006756756757,0.54565503003003,-0.27425259526909074,3.7804054054054053,-0.2765984
BOL|F|35-44,0.06951871657754011,0.6977513227513228,0.4124779541446208,0.5166446208112875,0.5422912992357437,0.2782117284513764,3.0748663101604277,-0.23471174
BOL|F|45-54,0.07563025210084033,0.694327731092437,0.42296918767507,0.5227591036414566,0.5466853408029878,0.15216528630962806,2.596638655462185,-0.1551232
BOL|F|55-64,0.06611570247933884,0.6782786885245902,0.39651639344262296,0.5146857923497268,0.5298269581056466,0.9091512320541867,2.3949579831932772,-0.0059390855
BOL|F|65+,0.1,0.7359375,0.4197916666666667,0.5598958333333333,0.571875,-0.877152373149069,1.6582278481012658,-0.29982963
BOL|M|18-24,0.1124031007751938,0.7624045801526718,0.46358142493638677,0.5314885496183206,0.5858248515691263,0.4696348842445251,3.7061068702290076,-0.08884767
BOL|M|25-34,0.08333333333333333,0.7608225108225108,0.4563492063492064,0.5073953823953824,0.5748556998556998,0.474922132297239,4.181818181818182,-0.20715022
BOL|M|35-44,0.09090909090909091,0.7407670454545454,0.45667613636363635,0.510535037878788,0.5693260732323232,-0.9758426067542971,3.6363636363636362,-0.31838378
BOL|M|45-54,0.1103448275862069,0.7551020408163265,0.4399092970521542,0.5425170068027211,0.5791761148904007,-1.6531984717453496,3.1564625850340136,-0.24122353
BOL|M|55-64,0.10317460317460317,0.7162698412698413,0.4632936507936508,0.5358796296296295,0.5718143738977072,-0.202902068470955,2.9206349206349205,-0.18406451
BOL|M|65+,0.15853658536585366,0.7317073170731707,0.4344512195121951,0.5401422764227642,0.5687669376693766,-1.1451572155614977,2.3048780487804876,-0.12802924
BRA|F|18-24,0.0390625,0.7259615384615384,0.4822351421188631,0.5861959287531807,0.5981308697778607,-1.5827884263500953,3.2222222222222223,-0.07171969
BRA|F|25-34,0.09375,0.7545572916666666,0.5150523560209425,0.5978070175438597,0.6224722217438229,0.8865715569089945,3.3403141361256545,-0.13241205
BRA|F|35-44,0.037037037037037035,0.7514792899408284,0.5017361111111112,0.5631200396825398,0.6054451469114931,1.6530269700891,3.2093023255813953,-0.039836008
BRA|F|45-54,0.036585365853658534,0.7401515151515151,0.5015151515151515,0.5552208835341366,0.5989625167336011,-1.5687515820628164,2.4634146341463414,-0.15130542
BRA|F|55-64,0.07042253521126761,0.7875874125874126,0.528462441314554,0.5847902097902098,0.6336133545640588,0.4106407632622243,2.5428571428571427,-0.032763857
BRA|F|65+,0.04201680672268908,0.7614583333333333,0.5525210084033614,0.6206597222222222,0.6448796879863057,-2.530234376509117,1.7264957264957266,0.103611864
BRA|M|18-24,0.11,0.7536764705882353,0.5298202614379085,0.5706699346405228,0.6180555555555555,-0.9117101304801107,3.4215686274509802,-0.19009906
BRA|M|25-34,0.06896551724137931,0.7517006802721088,0.5127551020408163,0.5446428571428571,0.6030328798185941,0.4648534820210709,3.5273972602739727,-0.12697124
BRA|M|35-44,0.09285714285714286,0.7793103448275862,0.5547785547785548,0.5941091954022988,0.6427326983361467,-0.10461454782576314,2.7943262411347516,0.10563775
BRA|M|45-54,0.043795620437956206,0.7616906474820144,0.5437649880095923,0.5611510791366906,0.6222022382094324,-0.4506903691939424,2.588235294117647,-0.10661909
BRA|M|55-64,0.09009009009009009,0.7635135135135135,0.5345345345345346,0.5752627627627628,0.624436936936937,1.0620218649383983,2.109090909090909,0.142972
BRA|M|65+,0.09448818897637795,0.7926356589147286,0.5591085271317829,0.6232235142118863,0.6583225667527993,0.43104897174698636,1.9765625,0.0640291
CAN|F|18-24,0.4007220216606498,0.8619133574007221,0.6826113116726835,0.6211642599277978,0.7218963096670677,0.5159426279998897,4.481884057971015,0.20935024
CAN|F|25-34,0.39901477832512317,0.874692118226601,0.6746715927750411,0.6023706896551724,0.7172448002189382,0.724839963089449,5.093827160493827,0.3098146
CAN|F|35-44,0.45231607629427795,0.8630790190735694,0.6734786557674841,0.6115463215258855,0.7160346654556463,-0.2368159702631222,5.18956043956044,0.43504745
CAN|F|45-54,0.42592592592592593,0.8526234567901234,0.6772119341563786,0.6221064814814815,0.7173139574759945,1.3642403748982987,4.761755485893417,0.34542945
CAN|F|55-64,0.5076923076923077,0.8802884615384615,0.6993589743589744,0.6502403846153846,0.7432959401709401,-1.106112794840861,4.624031007751938,0.61008435
CAN|F|65+,0.6092307692307692,0.9034615384615384,0.7330769230769231,0.67,0.7688461538461538,-0.3450679261310282,4.609907120743034,0.4842703
CAN|M|18-24,0.46099290780141844,0.8359929078014184,0.6708037825059101,0.6382978723404256,0.7150315208825848,0.7947756130091532,4.23021582733813,-0.2537928
CAN|M|25-34,0.514792899408284,0.8557692307692307,0.6861439842209073,0.634430473372781,0.7254478961209729,-0.7990270344680447,5.295857988165681,0.07166258
