unit_id,m_wvs_q13,m_wvs_q14,m_composite,q275_cell,gps_patience_cell,m_noise
COL|F|18-24,1.8620689655172413,1.7988505747126438,2.2382201949691036,3.5,-0.2515531,0.4230029818517921
COL|F|25-34,1.7842105263157895,1.8842105263157896,2.133098302496647,3.771276595744681,-0.2933511,-1.2964240374979195
COL|F|35-44,1.7482517482517483,1.902097902097902,1.9395104649120818,3.2587412587412588,-0.44390982,-0.7867105985805406
COL|F|45-54,1.7796610169491525,1.8898305084745763,2.1312129307607117,2.4358974358974357,-0.49160162,-0.6632538019778348
COL|F|55-64,1.697674418604651,1.8604651162790697,1.2174001978695208,2.0813953488372094,-0.3374339,-1.1351803859159486
COL|F|65+,1.7346938775510203,1.8979591836734695,1.7932271576357734,2.0833333333333335,-0.5166169,1.0757775979289828
COL|M|18-24,1.7853403141361257,1.7643979057591623,1.3360677101742329,3.372340425531915,-0.2577721,1.0759768838102877
COL|M|25-34,1.7875,1.75625,1.3000563535750302,3.624203821656051,-0.078737184,-1.5005560279396362
COL|M|35-44,1.7372881355932204,1.805084745762712,1.190406441752977,3.3813559322033897,-0.18020654,-0.8296997054721524
COL|M|45-54,1.7076923076923076,1.853846153846154,1.260316981021806,2.7286821705426356,-0.49166414,0.07039914288997888
COL|M|55-64,1.7052631578947368,1.831578947368421,1.089139337177855,2.5591397849462365,-0.67085195,0.7279382038876595
COL|M|65+,1.696969696969697,1.893939393939394,1.4366834034807872,2.4444444444444446,-0.5444158,1.7884815762759465
CZE|F|18-24,1.5416666666666667,1.4791666666666667,-2.7130424965149196,2.38,0.37138999,0.9353727710228678
CZE|F|25-34,1.5631067961165048,1.4174757281553398,-2.9412585420642534,3.855769230769231,0.37159002,0.5433150117349378
CZE|F|35-44,1.435897435897436,1.4700854700854702,-3.6979584400272376,3.547008547008547,0.5731376,-0.4653003514858128
CZE|F|45-54,1.4242424242424243,1.4924242424242424,-3.6493057180927924,3.287878787878788,0.3603519,-0.06876941606231586
CZE|F|55-64,1.3368421052631578,1.5473684210526315,-4.042603594078228,3.031578947368421,0.2814704,-0.7274980247085687
CZE|F|65+,1.3691275167785235,1.610738255033557,-3.333857790785908,2.6013513513513513,0.061968688,0.6125997189507802
CZE|M|18-24,1.511111111111111,1.5333333333333334,-2.615111330189112,2.3555555555555556,0.5812467,-0.5546470252631339
CZE|M|25-34,1.6105263157894736,1.5263157894736843,-1.7941091870246253,3.4583333333333335,0.48893157,-1.7782001012277127
CZE|M|35-44,1.4111111111111112,1.4666666666666666,-3.9374593529262465,3.5,0.46909198,-0.5200945841979289
CZE|M|45-54,1.5596330275229358,1.4311926605504588,-2.8792184677419908,3.190909090909091,0.74799514,-0.44345114370522826
CZE|M|55-64,1.3545454545454545,1.481818181818182,-4.329446666955796,2.900900900900901,0.1566139,-1.9109889423634379
CZE|M|65+,1.4752475247524752,1.4851485148514851,-3.2528418649811384,3.00990099009901,0.07407214,-0.3061171034232102
DEU|F|18-24,1.6818181818181819,1.6818181818181819,-0.12421067772350934,3.1818181818181817,0.536307,0.822221238035997
DEU|F|25-34,1.7567567567567568,1.6126126126126126,0.06420433386559987,4.396396396396397,1.0077274,-0.8512791749323859
DEU|F|35-44,1.7340425531914894,1.5957446808510638,-0.24777465580426425,4.457446808510638,0.56381804,0.3618103214546219
DEU|F|45-54,1.6256983240223464,1.6368715083798884,-0.9170456656788211,3.921787709497207,0.58671415,-0.28843347713619427
DEU|F|55-64,1.6119402985074627,1.6044776119402986,-1.2553662153547378,3.925373134328358,0.5702811,-1.1950999735411911
DEU|F|65+,1.5771144278606966,1.7114427860696517,-0.8391504724185648,3.555,0.24409454,-0.116126653119578
DEU|M|18-24,1.625,1.734375,-0.26649129915677444,2.96875,1.0108018,0.21011846299427767
DEU|M|25-34,1.6727272727272726,1.7,-0.08115953591395611,4.318181818181818,0.93368566,0.7140107032433022
DEU|M|35-44,1.6090909090909091,1.709090909090909,-0.5757164605544254,4.136363636363637,1.0251657,-1.1760566070616474
DEU|M|45-54,1.6734693877551021,1.6666666666666667,-0.2991669459273394,4.412162162162162,1.1584101,0.2867784505450241
DEU|M|55-64,1.575221238938053,1.6106194690265487,-1.5346962563565385,4.7105263157894735,0.5847392,0.8309293035572024
DEU|M|65+,1.5561224489795917,1.7040816326530612,-1.0720630974832095,4.37948717948718,0.5861356,-0.24879929179952995
EGY|F|18-24,1.8433734939759037,1.891566265060241,2.6993485701931466,2.927710843373494,-0.56388515,1.127657332834131
EGY|F|25-34,1.7251908396946565,1.900763358778626,1.729115619126915,3.1526717557251906,-0.38348302,0.6244453901498327
EGY|F|35-44,1.8164556962025316,1.9177215189873418,2.6404033632267954,2.7151898734177213,-0.54498595,0.6209113136955358
EGY|F|45-54,1.75,1.8981481481481481,1.9281789093585497,1.926605504587156,-0.4293778,0.2777207621899553
EGY|F|55-64,1.7682926829268293,1.9024390243902438,2.1168393959089746,1.0853658536585367,-0.442168,-0.5212904291449938
EGY|M|18-24,1.7450980392156863,1.8627450980392157,1.646938964665773,2.911764705882353,-0.101379536,0.3231551445438791
EGY|M|25-34,1.7586206896551724,1.903448275862069,2.039164042046977,3.296551724137931,-0.38679385,0.5145273595151839
EGY|M|35-44,1.806201550387597,1.9147286821705427,2.530690938839129,2.868217054263566,-0.36446556,0.2717072539664694
EGY|M|45-54,1.8384615384615384,1.8692307692307693,2.5060269308128387,2.5,-0.38056976,1.4395575112911756
EGY|M|55-64,1.7692307692307692,1.8571428571428572,1.8199778658763184,2.32967032967033,-0.64849913,0.3659114168786249
GBR|F|18-24,1.824742268041237,1.556701030927835,0.28142389547845825,3.75531914893617,0.5024125,0.5444619526064285
GBR|F|25-34,1.8508771929824561,1.5087719298245614,0.1868921634066405,4.786363636363636,0.89883345,-0.21259787350908807
GBR|F|35-44,1.8425196850393701,1.5590551181102361,0.4525405771620399,4.747967479674797,0.48246324,1.5949122715660973
GBR|F|45-54,1.838235294117647,1.5784313725490196,0.5456145525082263,4.456852791878172,0.6665444,1.8252278914076838
GBR|F|55-64,1.7356828193832599,1.6387665198237886,0.05628860282928766,4.013888888888889,0.50686777,2.065086132332644
GBR|F|65+,1.752021563342318,1.679245283018868,0.4715972495327608,3.6293103448275863,-0.092770435,0.7937993359728011
GBR|M|18-24,1.7534246575342465,1.5068493150684932,-0.677177578608446,3.857142857142857,0.6783009,-0.13740370497922755
GBR|M|25-34,1.7857142857142858,1.5785714285714285,0.0878548537193986,4.885714285714286,0.8227953,0.13543780489261267
GBR|M|35-44,1.802919708029197,1.6204379562043796,0.5200789405981332,4.794117647058823,0.8688875,-0.1785803394846311
GBR|M|45-54,1.878787878787879,1.587878787878788,0.9634139885419809,4.455696202531645,0.8385715,0.711915817827201
GBR|M|55-64,1.8342245989304813,1.6203208556149733,0.7926979511020333,4.094444444444444,0.8237653,-0.7087572301309377
GBR|M|65+,1.797583081570997,1.6102719033232629,0.40500546865361553,3.908196721311475,0.3646484,-0.7504059208971708
GRC|F|18-24,1.8,1.42,-0.8553033495908544,3.6,-0.24413848,-1.5860776684369413
GRC|F|25-34,1.8481012658227849,1.5063291139240507,0.14619649192794637,4.4375,-0.29256043,-0.41718307800999066
GRC|F|35-44,1.8091603053435115,1.4580152671755726,-0.5192798789361758,4.0,-0.39718232,0.12658068277960846
GRC|F|45-54,1.8620689655172413,1.3706896551724137,-0.6453000293163973,3.6666666666666665,-0.3433416,-1.2998931888869663
GRC|F|55-64,1.766355140186916,1.5514018691588785,-0.26420006085201575,2.5794392523364484,-0.4821217,-1.6973479990441718
GRC|F|65+,1.7105263157894737,1.605263157894737,-0.38905475587633387,2.0,-0.5969385,-0.12475834120514459
GRC|M|18-24,1.794871794871795,1.2820512820512822,-1.829129933153941,3.230769230769231,-0.26117107,-0.7597364472079671
GRC|M|25-34,1.8194444444444444,1.3611111111111112,-1.0820782521594605,4.027777777777778,-0.25036788,-0.6913040193142702
GRC|M|35-44,1.7706422018348624,1.4587155963302751,-0.8509691027664219,3.7181818181818183,-0.032553174,0.5145580958674767
