iso3,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,n_trust_general,n_trust_in_group,n_trust_out_group,n_trust_institution,gps_trust,log_gdp_pc,gini,m_share_agriculture,rule_of_law,m_noise
PHL,0.053467000835421885,0.8452083333333333,0.533125,0.8071354166666667,1197.0,1200.0,1200.0,1200.0,0.35706308,9.056636714985517,43.45,25.27902677931716,-0.49717977046966555,0.5545163664726702
ROU,0.11873990306946688,0.80199203187251,0.4806390468453832,0.6038502531308286,1238.0,1255.0,1231.0,1251.0,-0.21704744,10.394836931175774,35.379999999999995,14.07746522971934,0.37542390525341035,0.6437810357387733
RUS,0.23909348441926345,0.847483407079646,0.5304621848739496,0.6352203436807096,1765.0,1808.0,1785.0,1804.0,-0.15077487,10.488321620623646,35.94,6.27063511286621,-0.8214822053909302,-0.4530281177871468
SRB,0.1661807580174927,0.8599470134874759,0.5758422416585682,0.5644087069525666,1029.0,1038.0,1029.0,1026.0,-0.16020425,9.889099892241278,36.980000000000004,22.960770734456823,-0.13934645205736157,0.8167737539396377
THA,0.3136842105263158,0.8526517678452301,0.5393736017897093,0.6879484953703705,1425.0,1499.0,1490.0,1440.0,0.3484398,9.907936993050038,36.08,31.756428853477722,-0.0236325900070369,-0.052068440809039676
TUR,0.14261603375527426,0.8209921292460646,0.5205569375345496,0.7407897467828974,2370.0,2414.0,2412.0,2409.0,0.12911025,10.226950475773034,42.9,19.320462368422902,-0.32616439461708063,0.6411702740513423
UKR,0.3065286624203822,0.8235636645962733,0.5559978768577494,0.5517347600518806,1256.0,1288.0,1256.0,1285.0,-0.09238698,9.707307470963357,25.839999999999996,14.772175170342582,-0.7895074367523194,-0.7237880887841642
USA,0.39737147274835716,0.8416634504052489,0.6478120978120979,0.6260553622067543,2587.0,2591.0,2590.0,2586.0,0.15036696,11.104679404549774,41.58,1.856574755787746,1.5300784587860108,-0.6397671091221866
VNM,0.27666666666666667,0.8498958333333333,0.5457638888888888,0.8003645833333334,1200.0,1200.0,1200.0,1200.0,0.14363137,9.246619620930822,35.5,39.659614375625644,-0.06719337105751037,1.3116080076658423
ZWE,0.0214168039538715,0.8077635914332785,0.5453137902559868,0.6569615912208505,1214.0,1214.0,1211.0,1215.0,-0.5091331,8.549347681547973,47.3,63.064783170480304,-1.344263744354248,-0.3823823840487058
