unit_id,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,m_gps_trust,rule_of_law,gini,log_gdp_pc,q275_mean,m_trust_composite,m_noise
NGA,0.1268292682926829,0.7660670978172999,0.5261721907841552,0.6369240097008892,-0.057804402,-0.953133761882782,35.5,9.04894893088218,2.5887622149837135,0.6430544327674481,1.58211431417086
NLD,0.6120556414219475,0.9193430656934306,0.704128244535519,0.6048321048321048,0.29805693,1.7983410835266114,28.44,11.090175656291336,4.732451678535097,0.7427678050203514,-0.6906326258305919
PAK,0.2349671551288529,0.8545636910732196,0.484003350083752,0.7201023391812865,-0.10337088,-0.7395649790763855,30.450000000000003,8.521761759496307,2.16214859437751,0.6862231267794194,-1.7235561338465337
PER,0.0530465949820788,0.7254464285714286,0.4130603242727705,0.4898290445556349,-0.0969185,-0.5211288928985596,42.84,9.620718711632875,3.309285714285714,0.542778599133278,-0.5260753188347947
PHL,0.0534670008354218,0.8452083333333333,0.533125,0.8071354166666667,0.35706308,-0.4971797704696655,43.45,9.056636714985515,2.3408333333333333,0.7284895833333334,-0.4024647299668905
ROU,0.1187399030694668,0.80199203187251,0.4806390468453832,0.6038502531308286,-0.21704744,0.3754239052534103,35.379999999999995,10.394836931175774,3.204149377593361,0.6288271106162405,0.26061113141125786
RUS,0.2390934844192634,0.847483407079646,0.5304621848739496,0.6352203436807096,-0.15077487,-0.8214822053909302,35.94,10.488321620623646,4.873333333333333,0.6710553118781016,1.3280049723711325
SRB,0.1661807580174927,0.8599470134874759,0.5758422416585682,0.5644087069525666,-0.16020425,-0.1393464520573615,36.98,9.889099892241278,5.1346341463414635,0.6667326540328702,1.3934235774626333
THA,0.3136842105263158,0.8526517678452301,0.5393736017897093,0.6879484953703705,0.3484398,-0.0236325900070369,36.08,9.907936993050038,2.159783344617468,0.6933246216684367,0.6281258711452166
TUR,0.1426160337552742,0.8209921292460646,0.5205569375345496,0.7407897467828974,0.12911025,-0.3261643946170806,42.9,10.226950475773034,2.333748960931006,0.6941129378545039,2.130033937908504
UKR,0.3065286624203822,0.8235636645962733,0.5559978768577494,0.5517347600518806,-0.09238698,-0.7895074367523194,25.839999999999996,9.707307470963356,4.897496087636933,0.6437654338353012,0.5720992448533802
USA,0.3973714727483571,0.8416634504052489,0.6478120978120979,0.6260553622067543,0.15036696,1.5300784587860108,41.58,11.104679404549774,4.882123341139734,0.705176970141367,-0.0021744407215428217
VNM,0.2766666666666666,0.8498958333333333,0.5457638888888888,0.8003645833333334,0.14363137,-0.0671933710575103,35.5,9.246619620930822,3.234166666666667,0.7320081018518518,-0.2703583263900618
